settlement-id	order-id	sku	amount-type	amount-description	amount
17239876543	341-8314824-8262674	JAVY-CAR-6OZ	ItemFees	Commission	-11.33
17239876543	341-8314824-8262674	JAVY-CAR-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.41
17239876543	953-4061962-7527366	JAVY-VAN-18OZ	ItemPrice	Principal	59.79
17239876543	953-4061962-7527366	JAVY-VAN-18OZ	ItemPrice	Tax	4.24
17239876543	953-4061962-7527366	JAVY-VAN-18OZ	ItemFees	Commission	-8.97
17239876543	953-4061962-7527366	JAVY-VAN-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.65
17239876543	113-4384186-7864658	JAVY-ORIG-6OZ	ItemPrice	Principal	24.25
17239876543	113-4384186-7864658	JAVY-ORIG-6OZ	ItemPrice	Tax	1.48
17239876543	113-4384186-7864658	JAVY-ORIG-6OZ	ItemFees	Commission	-3.64
17239876543	113-4384186-7864658	JAVY-ORIG-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.72
17239876543	395-8542608-3961924	JAVY-CAR-6OZ	ItemPrice	Principal	26.63
17239876543	395-8542608-3961924	JAVY-CAR-6OZ	ItemPrice	Tax	2.0
17239876543	395-8542608-3961924	JAVY-CAR-6OZ	ItemPrice	Shipping	3.99
17239876543	395-8542608-3961924	JAVY-CAR-6OZ	ItemFees	Commission	-3.99
17239876543	859-3113287-5133533	JAVY-DEC-6OZ	ItemPrice	Principal	29.14
17239876543	859-3113287-5133533	JAVY-DEC-6OZ	ItemPrice	Tax	2.55
17239876543	859-3113287-5133533	JAVY-DEC-6OZ	ItemFees	Commission	-4.37
17239876543	859-3113287-5133533	JAVY-DEC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.47
17239876543	731-6798616-9427898	JAVY-CBKIT	ItemPrice	Principal	33.68
17239876543	731-6798616-9427898	JAVY-CBKIT	ItemPrice	Tax	3.06
17239876543	731-6798616-9427898	JAVY-CBKIT	ItemFees	Commission	-5.05
17239876543	731-6798616-9427898	JAVY-CBKIT	ItemFees	FBAPerUnitFulfillmentFee	-5.8
17239876543	739-4487242-4877626	JAVY-ORIG-18OZ	ItemPrice	Principal	50.7
17239876543	739-4487242-4877626	JAVY-ORIG-18OZ	ItemPrice	Tax	3.76
17239876543	739-4487242-4877626	JAVY-ORIG-18OZ	ItemPrice	Shipping	5.99
17239876543	739-4487242-4877626	JAVY-ORIG-18OZ	ItemFees	Commission	-7.61
17239876543	739-4487242-4877626	JAVY-ORIG-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.82
17239876543	806-9126460-4010656	JAVY-ORIG-6OZ	ItemPrice	Principal	76.47
17239876543	806-9126460-4010656	JAVY-ORIG-6OZ	ItemPrice	Tax	4.19
17239876543	806-9126460-4010656	JAVY-ORIG-6OZ	ItemPrice	Shipping	5.99
17239876543	806-9126460-4010656	JAVY-ORIG-6OZ	ItemFees	Commission	-11.47
17239876543	806-9126460-4010656	JAVY-ORIG-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.6
17239876543	553-5254742-7064821	JAVY-CAR-18OZ	ItemPrice	Principal	115.08
17239876543	553-5254742-7064821	JAVY-CAR-18OZ	ItemPrice	Tax	5.78
17239876543	553-5254742-7064821	JAVY-CAR-18OZ	ItemPrice	Shipping	3.99
17239876543	553-5254742-7064821	JAVY-CAR-18OZ	ItemFees	Commission	-17.26
17239876543	553-5254742-7064821	JAVY-CAR-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-6.41
17239876543	999-2782408-4770478	JAVY-MOC-6OZ	ItemPrice	Principal	27.58
17239876543	999-2782408-4770478	JAVY-MOC-6OZ	ItemPrice	Tax	1.83
17239876543	999-2782408-4770478	JAVY-MOC-6OZ	ItemFees	Commission	-4.14
17239876543	999-2782408-4770478	JAVY-MOC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.68
17239876543	590-2102216-2568700	JAVY-ORIG-18OZ	ItemPrice	Principal	56.89
17239876543	590-2102216-2568700	JAVY-ORIG-18OZ	ItemPrice	Tax	3.18
17239876543	590-2102216-2568700	JAVY-ORIG-18OZ	ItemPrice	Shipping	5.99
17239876543	590-2102216-2568700	JAVY-ORIG-18OZ	ItemFees	Commission	-8.53
17239876543	590-2102216-2568700	JAVY-ORIG-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.25
17239876543	981-1909643-7891909	JAVY-MOC-6OZ	ItemPrice	Principal	54.2
17239876543	981-1909643-7891909	JAVY-MOC-6OZ	ItemPrice	Tax	5.34
17239876543	981-1909643-7891909	JAVY-MOC-6OZ	ItemPrice	Shipping	3.99
17239876543	981-1909643-7891909	JAVY-MOC-6OZ	ItemFees	Commission	-8.13
17239876543	870-2262112-7360115	JAVY-MOC-6OZ	ItemPrice	Principal	26.08
17239876543	870-2262112-7360115	JAVY-MOC-6OZ	ItemPrice	Tax	2.59
17239876543	870-2262112-7360115	JAVY-MOC-6OZ	ItemPrice	Shipping	5.99
17239876543	870-2262112-7360115	JAVY-MOC-6OZ	ItemFees	Commission	-3.91
17239876543	870-2262112-7360115	JAVY-MOC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.61
17239876543	396-4934198-8554987	JAVY-DEC-6OZ	ItemPrice	Principal	26.02
17239876543	396-4934198-8554987	JAVY-DEC-6OZ	ItemPrice	Tax	2.41
17239876543	396-4934198-8554987	JAVY-DEC-6OZ	ItemFees	Commission	-3.9
17239876543	396-4934198-8554987	JAVY-DEC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.79
17239876543	378-5587122-3481590	JAVY-ORIG-6OZ	ItemPrice	Principal	23.19
17239876543	378-5587122-3481590	JAVY-ORIG-6OZ	ItemPrice	Tax	2.08
17239876543	378-5587122-3481590	JAVY-ORIG-6OZ	ItemPrice	Shipping	3.99
17239876543	378-5587122-3481590	JAVY-ORIG-6OZ	ItemFees	Commission	-3.48
17239876543	378-5587122-3481590	JAVY-ORIG-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.88
17239876543	921-1474048-4901953	JAVY-ORIG-18OZ	ItemPrice	Principal	53.23
17239876543	921-1474048-4901953	JAVY-ORIG-18OZ	ItemPrice	Tax	4.1
17239876543	921-1474048-4901953	JAVY-ORIG-18OZ	ItemPrice	Shipping	5.99
17239876543	921-1474048-4901953	JAVY-ORIG-18OZ	ItemFees	Commission	-7.98
17239876543	921-1474048-4901953	JAVY-ORIG-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.04
17239876543	272-8951648-2696538	JAVY-VAN-6OZ	ItemPrice	Principal	27.27
17239876543	272-8951648-2696538	JAVY-VAN-6OZ	ItemPrice	Tax	2.36
17239876543	272-8951648-2696538	JAVY-VAN-6OZ	ItemPrice	Shipping	5.99
17239876543	272-8951648-2696538	JAVY-VAN-6OZ	ItemFees	Commission	-4.09
17239876543	272-8951648-2696538	JAVY-VAN-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-6.32
17239876543	719-2082255-7387372	JAVY-DEC-18OZ	ItemPrice	Principal	63.87
17239876543	719-2082255-7387372	JAVY-DEC-18OZ	ItemPrice	Tax	4.03
17239876543	719-2082255-7387372	JAVY-DEC-18OZ	ItemFees	Commission	-9.58
17239876543	719-2082255-7387372	JAVY-DEC-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.35
17239876543	431-6078353-2807784	JAVY-MOC-6OZ	ItemPrice	Principal	26.6
17239876543	431-6078353-2807784	JAVY-MOC-6OZ	ItemPrice	Tax	2.05
17239876543	431-6078353-2807784	JAVY-MOC-6OZ	ItemPrice	Shipping	5.99
17239876543	431-6078353-2807784	JAVY-MOC-6OZ	ItemFees	Commission	-3.99
17239876543	431-6078353-2807784	JAVY-MOC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.54
17239876543	664-1697175-3914608	JAVY-START	ItemPrice	Principal	42.83
17239876543	664-1697175-3914608	JAVY-START	ItemPrice	Tax	4.24
17239876543	664-1697175-3914608	JAVY-START	ItemPrice	Shipping	5.99
17239876543	664-1697175-3914608	JAVY-START	ItemFees	Commission	-6.42
17239876543	664-1697175-3914608	JAVY-START	ItemFees	FBAPerUnitFulfillmentFee	-3.06
17239876543	478-5921380-4279510	JAVY-VAN-6OZ	ItemPrice	Principal	25.3
17239876543	478-5921380-4279510	JAVY-VAN-6OZ	ItemPrice	Tax	2.49
17239876543	478-5921380-4279510	JAVY-VAN-6OZ	ItemFees	Commission	-3.79
17239876543	478-5921380-4279510	JAVY-VAN-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.25
17239876543	183-8232256-2685557	JAVY-ORIG-6OZ	ItemPrice	Principal	23.51
17239876543	183-8232256-2685557	JAVY-ORIG-6OZ	ItemPrice	Tax	2.11
17239876543	183-8232256-2685557	JAVY-ORIG-6OZ	ItemFees	Commission	-3.53
17239876543	183-8232256-2685557	JAVY-ORIG-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.84
17239876543	595-1068135-8006237	JAVY-CBKIT	ItemPrice	Principal	33.46
17239876543	595-1068135-8006237	JAVY-CBKIT	ItemPrice	Tax	2.56
17239876543	595-1068135-8006237	JAVY-CBKIT	ItemPrice	Shipping	5.99
17239876543	595-1068135-8006237	JAVY-CBKIT	ItemFees	Commission	-5.02
17239876543	595-1068135-8006237	JAVY-CBKIT	ItemFees	FBAPerUnitFulfillmentFee	-3.72
17239876543	888-8567384-3355970	JAVY-MOC-6OZ	ItemPrice	Principal	56.56
17239876543	888-8567384-3355970	JAVY-MOC-6OZ	ItemPrice	Tax	4.56
17239876543	888-8567384-3355970	JAVY-MOC-6OZ	ItemFees	Commission	-8.48
17239876543	888-8567384-3355970	JAVY-MOC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.76
17239876543	554-8587744-6260020	JAVY-START	ItemPrice	Principal	43.09
17239876543	554-8587744-6260020	JAVY-START	ItemPrice	Tax	4.06
17239876543	554-8587744-6260020	JAVY-START	ItemPrice	Shipping	5.99
17239876543	554-8587744-6260020	JAVY-START	ItemFees	Commission	-6.46
17239876543	554-8587744-6260020	JAVY-START	ItemFees	FBAPerUnitFulfillmentFee	-4.88
17239876543	563-6618261-6472794	JAVY-VAN-6OZ	ItemPrice	Principal	27.68
17239876543	563-6618261-6472794	JAVY-VAN-6OZ	ItemPrice	Tax	2.4
17239876543	563-6618261-6472794	JAVY-VAN-6OZ	ItemPrice	Shipping	3.99
17239876543	563-6618261-6472794	JAVY-VAN-6OZ	ItemFees	Commission	-4.15
17239876543	563-6618261-6472794	JAVY-VAN-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-6.45
17239876543	487-8998815-6642174	JAVY-MOC-6OZ	ItemPrice	Principal	27.6
17239876543	487-8998815-6642174	JAVY-MOC-6OZ	ItemPrice	Tax	1.87
17239876543	487-8998815-6642174	JAVY-MOC-6OZ	ItemPrice	Shipping	5.99
17239876543	487-8998815-6642174	JAVY-MOC-6OZ	ItemFees	Commission	-4.14
17239876543	487-8998815-6642174	JAVY-MOC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.06
17239876543	848-1943269-4658577	JAVY-CAR-6OZ	ItemPrice	Principal	49.88
17239876543	848-1943269-4658577	JAVY-CAR-6OZ	ItemPrice	Tax	2.86
17239876543	848-1943269-4658577	JAVY-CAR-6OZ	ItemPrice	Shipping	5.99
17239876543	848-1943269-4658577	JAVY-CAR-6OZ	ItemFees	Commission	-7.48
17239876543	848-1943269-4658577	JAVY-CAR-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.83
17239876543	467-9988921-7119729	JAVY-ORIG-6OZ	ItemPrice	Principal	49.52
17239876543	467-9988921-7119729	JAVY-ORIG-6OZ	ItemPrice	Tax	3.74
17239876543	467-9988921-7119729	JAVY-ORIG-6OZ	ItemPrice	Shipping	3.99
17239876543	467-9988921-7119729	JAVY-ORIG-6OZ	ItemFees	Commission	-7.43
17239876543	467-9988921-7119729	JAVY-ORIG-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.85
17239876544	814-5525937-4801418	JAVY-VAN-18OZ	ItemPrice	Principal	57.78
17239876544	814-5525937-4801418	JAVY-VAN-18OZ	ItemPrice	Tax	3.22
17239876544	814-5525937-4801418	JAVY-VAN-18OZ	ItemPrice	Shipping	3.99
17239876544	814-5525937-4801418	JAVY-VAN-18OZ	ItemFees	Commission	-8.67
17239876544	814-5525937-4801418	JAVY-VAN-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-6.17
17239876544	440-6823313-4276121	JAVY-START	ItemPrice	Principal	45.94
17239876544	440-6823313-4276121	JAVY-START	ItemPrice	Tax	4.09
17239876544	440-6823313-4276121	JAVY-START	ItemFees	Commission	-6.89
17239876544	440-6823313-4276121	JAVY-START	ItemFees	FBAPerUnitFulfillmentFee	-4.74
17239876544	162-8746334-3524451	JAVY-VAN-6OZ	ItemPrice	Principal	26.83
17239876544	162-8746334-3524451	JAVY-VAN-6OZ	ItemPrice	Tax	2.17
17239876544	162-8746334-3524451	JAVY-VAN-6OZ	ItemFees	Commission	-4.02
17239876544	162-8746334-3524451	JAVY-VAN-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.65
17239876544	262-2195004-6976431	JAVY-DEC-6OZ	ItemPrice	Principal	29.3
17239876544	262-2195004-6976431	JAVY-DEC-6OZ	ItemPrice	Tax	1.92
17239876544	262-2195004-6976431	JAVY-DEC-6OZ	ItemFees	Commission	-4.39
17239876544	262-2195004-6976431	JAVY-DEC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.4
17239876544	416-1378999-7208506	JAVY-CAR-18OZ	ItemPrice	Principal	58.35
17239876544	416-1378999-7208506	JAVY-CAR-18OZ	ItemPrice	Tax	3.99
17239876544	416-1378999-7208506	JAVY-CAR-18OZ	ItemPrice	Shipping	3.99
17239876544	416-1378999-7208506	JAVY-CAR-18OZ	ItemFees	Commission	-8.75
17239876544	416-1378999-7208506	JAVY-CAR-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.77
17239876544	908-8408190-9195699	JAVY-CAR-18OZ	ItemPrice	Principal	54.0
17239876544	908-8408190-9195699	JAVY-CAR-18OZ	ItemPrice	Tax	5.31
17239876544	908-8408190-9195699	JAVY-CAR-18OZ	ItemFees	Commission	-8.1
17239876544	908-8408190-9195699	JAVY-CAR-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.18
17239876544	919-4833000-5705844	JAVY-VAN-18OZ	ItemPrice	Principal	57.25
17239876544	919-4833000-5705844	JAVY-VAN-18OZ	ItemPrice	Tax	3.01
17239876544	919-4833000-5705844	JAVY-VAN-18OZ	ItemFees	Commission	-8.59
17239876544	919-4833000-5705844	JAVY-VAN-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.05
17239876544	425-2477079-4533419	JAVY-ORIG-6OZ	ItemPrice	Principal	24.68
17239876544	425-2477079-4533419	JAVY-ORIG-6OZ	ItemPrice	Tax	1.78
17239876544	425-2477079-4533419	JAVY-ORIG-6OZ	ItemPrice	Shipping	5.99
17239876544	425-2477079-4533419	JAVY-ORIG-6OZ	ItemFees	Commission	-3.7
17239876544	425-2477079-4533419	JAVY-ORIG-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.0
17239876544	479-6402288-3123127	JAVY-MOC-6OZ	ItemPrice	Principal	27.1
17239876544	479-6402288-3123127	JAVY-MOC-6OZ	ItemPrice	Tax	2.01
17239876544	479-6402288-3123127	JAVY-MOC-6OZ	ItemPrice	Shipping	3.99
17239876544	479-6402288-3123127	JAVY-MOC-6OZ	ItemFees	Commission	-4.07
17239876544	944-7411843-4890475	JAVY-DEC-18OZ	ItemPrice	Principal	118.02
17239876544	944-7411843-4890475	JAVY-DEC-18OZ	ItemPrice	Tax	11.12
17239876544	944-7411843-4890475	JAVY-DEC-18OZ	ItemPrice	Shipping	3.99
17239876544	944-7411843-4890475	JAVY-DEC-18OZ	ItemFees	Commission	-17.7
17239876544	944-7411843-4890475	JAVY-DEC-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.57
17239876544	397-4352595-1890329	JAVY-VAN-6OZ	ItemPrice	Principal	25.13
17239876544	397-4352595-1890329	JAVY-VAN-6OZ	ItemPrice	Tax	2.25
17239876544	397-4352595-1890329	JAVY-VAN-6OZ	ItemPrice	Shipping	5.99
17239876544	397-4352595-1890329	JAVY-VAN-6OZ	ItemFees	Commission	-3.77
17239876544	397-4352595-1890329	JAVY-VAN-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.18
17239876544	862-5078309-5876431	JAVY-ORIG-6OZ	ItemPrice	Principal	24.31
17239876544	862-5078309-5876431	JAVY-ORIG-6OZ	ItemPrice	Tax	1.56
17239876544	862-5078309-5876431	JAVY-ORIG-6OZ	ItemPrice	Shipping	5.99
17239876544	862-5078309-5876431	JAVY-ORIG-6OZ	ItemFees	Commission	-3.65
17239876544	876-8614915-2862784	JAVY-DEC-18OZ	ItemPrice	Principal	64.55
17239876544	876-8614915-2862784	JAVY-DEC-18OZ	ItemPrice	Tax	4.46
17239876544	876-8614915-2862784	JAVY-DEC-18OZ	ItemFees	Commission	-9.68
17239876544	876-8614915-2862784	JAVY-DEC-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.31
17239876544	640-7311740-8739424	JAVY-CAR-18OZ	ItemPrice	Principal	55.01
17239876544	640-7311740-8739424	JAVY-CAR-18OZ	ItemPrice	Tax	5.36
17239876544	640-7311740-8739424	JAVY-CAR-18OZ	ItemFees	Commission	-8.25
17239876544	640-7311740-8739424	JAVY-CAR-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.75
17239876544	508-9047321-1105184	JAVY-ORIG-6OZ	ItemPrice	Principal	51.28
17239876544	508-9047321-1105184	JAVY-ORIG-6OZ	ItemPrice	Tax	4.57
17239876544	508-9047321-1105184	JAVY-ORIG-6OZ	ItemPrice	Shipping	3.99
17239876544	508-9047321-1105184	JAVY-ORIG-6OZ	ItemFees	Commission	-7.69
17239876544	797-4175169-6849873	JAVY-DEC-6OZ	ItemPrice	Principal	28.1
17239876544	797-4175169-6849873	JAVY-DEC-6OZ	ItemPrice	Tax	1.96
17239876544	797-4175169-6849873	JAVY-DEC-6OZ	ItemPrice	Shipping	3.99
17239876544	797-4175169-6849873	JAVY-DEC-6OZ	ItemFees	Commission	-4.21
17239876544	737-3414090-1966040	JAVY-MOC-6OZ	ItemPrice	Principal	25.69
17239876544	737-3414090-1966040	JAVY-MOC-6OZ	ItemPrice	Tax	2.11
17239876544	737-3414090-1966040	JAVY-MOC-6OZ	ItemPrice	Shipping	5.99
17239876544	737-3414090-1966040	JAVY-MOC-6OZ	ItemFees	Commission	-3.85
17239876544	737-3414090-1966040	JAVY-MOC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.85
17239876544	485-5052194-6704104	JAVY-START	ItemPrice	Principal	91.54
17239876544	485-5052194-6704104	JAVY-START	ItemPrice	Tax	6.78
17239876544	485-5052194-6704104	JAVY-START	ItemFees	Commission	-13.73
17239876544	485-5052194-6704104	JAVY-START	ItemFees	FBAPerUnitFulfillmentFee	-5.06
17239876544	939-4630592-5957455	JAVY-ORIG-6OZ	ItemPrice	Principal	23.16
17239876544	939-4630592-5957455	JAVY-ORIG-6OZ	ItemPrice	Tax	1.97
17239876544	939-4630592-5957455	JAVY-ORIG-6OZ	ItemFees	Commission	-3.47
17239876544	939-4630592-5957455	JAVY-ORIG-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.09
17239876544	939-4630592-5957455	JAVY-START	ItemPrice	Principal	47.12
17239876544	939-4630592-5957455	JAVY-START	ItemPrice	Tax	3.21
17239876544	939-4630592-5957455	JAVY-START	ItemPrice	Shipping	3.99
17239876544	939-4630592-5957455	JAVY-START	ItemFees	Commission	-7.07
17239876544	244-1065659-8492424	JAVY-VAN-18OZ	ItemPrice	Principal	122.36
17239876544	244-1065659-8492424	JAVY-VAN-18OZ	ItemPrice	Tax	12.07
17239876544	244-1065659-8492424	JAVY-VAN-18OZ	ItemPrice	Shipping	5.99
17239876544	244-1065659-8492424	JAVY-VAN-18OZ	ItemFees	Commission	-18.35
17239876544	436-1916897-3247271	JAVY-VAN-6OZ	ItemPrice	Principal	27.92
17239876544	436-1916897-3247271	JAVY-VAN-6OZ	ItemPrice	Tax	1.43
17239876544	436-1916897-3247271	JAVY-VAN-6OZ	ItemFees	Commission	-4.19
17239876544	436-1916897-3247271	JAVY-VAN-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.49
17239876544	335-9166897-3201852	JAVY-ORIG-6OZ	ItemPrice	Principal	52.38
17239876544	335-9166897-3201852	JAVY-ORIG-6OZ	ItemPrice	Tax	3.51
17239876544	335-9166897-3201852	JAVY-ORIG-6OZ	ItemPrice	Shipping	3.99
17239876544	335-9166897-3201852	JAVY-ORIG-6OZ	ItemFees	Commission	-7.86
17239876544	335-9166897-3201852	JAVY-ORIG-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.02
17239876544	319-8773016-1936819	JAVY-MOC-6OZ	ItemPrice	Principal	53.5
17239876544	319-8773016-1936819	JAVY-MOC-6OZ	ItemPrice	Tax	4.55
17239876544	319-8773016-1936819	JAVY-MOC-6OZ	ItemFees	Commission	-8.03
17239876544	319-8773016-1936819	JAVY-MOC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-4.78
17239876544	955-9934490-3923989	JAVY-ORIG-18OZ	ItemPrice	Principal	51.85
17239876544	955-9934490-3923989	JAVY-ORIG-18OZ	ItemPrice	Tax	4.09
17239876544	955-9934490-3923989	JAVY-ORIG-18OZ	ItemPrice	Shipping	5.99
17239876544	955-9934490-3923989	JAVY-ORIG-18OZ	ItemFees	Commission	-7.78
17239876544	955-9934490-3923989	JAVY-ORIG-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-6.42
17239876544	458-7673326-3677962	JAVY-START	ItemPrice	Principal	44.53
17239876544	458-7673326-3677962	JAVY-START	ItemPrice	Tax	3.86
17239876544	458-7673326-3677962	JAVY-START	ItemPrice	Shipping	3.99
17239876544	458-7673326-3677962	JAVY-START	ItemFees	Commission	-6.68
17239876544	458-7673326-3677962	JAVY-START	ItemFees	FBAPerUnitFulfillmentFee	-4.83
17239876544	313-8365068-8173832	JAVY-DEC-6OZ	ItemPrice	Principal	56.78
17239876544	313-8365068-8173832	JAVY-DEC-6OZ	ItemPrice	Tax	5.49
17239876544	313-8365068-8173832	JAVY-DEC-6OZ	ItemPrice	Shipping	5.99
17239876544	313-8365068-8173832	JAVY-DEC-6OZ	ItemFees	Commission	-8.52
17239876544	313-8365068-8173832	JAVY-DEC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.92
17239876544	527-7007954-6423373	JAVY-MOC-6OZ	ItemPrice	Principal	24.31
17239876544	527-7007954-6423373	JAVY-MOC-6OZ	ItemPrice	Tax	1.28
17239876544	527-7007954-6423373	JAVY-MOC-6OZ	ItemPrice	Shipping	3.99
17239876544	527-7007954-6423373	JAVY-MOC-6OZ	ItemFees	Commission	-3.65
17239876544	527-7007954-6423373	JAVY-MOC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.52
17239876544	985-6655764-2117706	JAVY-CAR-6OZ	ItemPrice	Principal	24.31
17239876544	985-6655764-2117706	JAVY-CAR-6OZ	ItemPrice	Tax	1.83
17239876544	985-6655764-2117706	JAVY-CAR-6OZ	ItemFees	Commission	-3.65
17239876544	985-6655764-2117706	JAVY-CAR-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-6.36
17239876544	611-6991311-1778233	JAVY-MOC-18OZ	ItemPrice	Principal	61.06
17239876544	611-6991311-1778233	JAVY-MOC-18OZ	ItemPrice	Tax	5.96
17239876544	611-6991311-1778233	JAVY-MOC-18OZ	ItemPrice	Shipping	3.99
17239876544	611-6991311-1778233	JAVY-MOC-18OZ	ItemFees	Commission	-9.16
17239876544	611-6991311-1778233	JAVY-MOC-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.18
17239876544	132-5961871-2714811	JAVY-DEC-6OZ	ItemPrice	Principal	53.16
17239876544	132-5961871-2714811	JAVY-DEC-6OZ	ItemPrice	Tax	4.29
17239876544	132-5961871-2714811	JAVY-DEC-6OZ	ItemFees	Commission	-7.97
17239876544	132-5961871-2714811	JAVY-DEC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.17
17239876544	278-5726265-5453586	JAVY-VAN-18OZ	ItemPrice	Principal	125.74
17239876544	278-5726265-5453586	JAVY-VAN-18OZ	ItemPrice	Tax	12.3
17239876544	278-5726265-5453586	JAVY-VAN-18OZ	ItemFees	Commission	-18.86
17239876544	278-5726265-5453586	JAVY-VAN-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.01
17239876544	745-2536969-6286747	JAVY-ORIG-6OZ	ItemPrice	Principal	24.73
17239876544	745-2536969-6286747	JAVY-ORIG-6OZ	ItemPrice	Tax	1.53
17239876544	745-2536969-6286747	JAVY-ORIG-6OZ	ItemPrice	Shipping	5.99
17239876544	745-2536969-6286747	JAVY-ORIG-6OZ	ItemFees	Commission	-3.71
17239876544	745-2536969-6286747	JAVY-ORIG-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.85
17239876544	984-5920643-2116368	JAVY-VAN-6OZ	ItemPrice	Principal	56.22
17239876544	984-5920643-2116368	JAVY-VAN-6OZ	ItemPrice	Tax	3.21
17239876544	984-5920643-2116368	JAVY-VAN-6OZ	ItemPrice	Shipping	5.99
17239876544	984-5920643-2116368	JAVY-VAN-6OZ	ItemFees	Commission	-8.43
17239876544	984-5920643-2116368	JAVY-VAN-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-6.21
17239876544	685-1740912-2102977	JAVY-MOC-6OZ	ItemPrice	Principal	25.51
