amazon-order-id	purchase-date	order-status	fulfillment-channel	sku	asin	product-name	quantity	currency	item-price	item-tax	shipping-price	ship-city	ship-state	ship-postal-code	ship-country
640-7311740-8739424	2025-09-19T05:14:04+00:00	Shipped	Amazon	JAVY-CAR-18OZ	B030703278	Caramel Concentrate 18oz	1	USD	55.01	5.36	0.0	Lake Jeff	KY	04391	US
508-9047321-1105184	2025-12-08T17:35:15+00:00	Shipped	Merchant	JAVY-ORIG-6OZ	B051555012	Original Concentrate 6oz	2	USD	51.28	4.57	3.99	New Wesley	GA	99065	US
797-4175169-6849873	2025-04-03T02:38:41+00:00	Shipped	Merchant	JAVY-DEC-6OZ	B012236153	Decaf Concentrate 6oz	1	USD	28.1	1.96	3.99	Sweeneyville	SC	11237	US
737-3414090-1966040	2025-09-08T16:44:16+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B035668748	Mocha Concentrate 6oz	1	USD	25.69	2.11	5.99	New Valerie	WI	64947	US
485-5052194-6704104	2025-09-12T15:08:33+00:00	Shipped	Amazon	JAVY-START	B038597836	Starter Kit	2	USD	91.54	6.78	0.0	West Sierramouth	SC	76055	US
939-4630592-5957455	2025-12-06T14:24:20+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B084804869	Original Concentrate 6oz	1	USD	23.16	1.97	0.0	Port Andrewshire	MD	83112	US
939-4630592-5957455	2025-05-12T23:21:47+00:00	Shipped	Merchant	JAVY-START	B050632651	Starter Kit	1	USD	47.12	3.21	3.99	Port Daniel	MN	61844	US
244-1065659-8492424	2025-10-18T09:31:38+00:00	Shipped	Merchant	JAVY-VAN-18OZ	B028074769	Vanilla Concentrate 18oz	2	USD	122.36	12.07	5.99	West Leslieside	CA	56236	US
436-1916897-3247271	2025-03-24T20:28:29+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B033615121	Vanilla Concentrate 6oz	1	USD	27.92	1.43	0.0	Richardsbury	FL	49478	US
335-9166897-3201852	2025-01-09T03:46:03+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B053853229	Original Concentrate 6oz	2	USD	52.38	3.51	3.99	Lake Mariamouth	WI	98085	US
319-8773016-1936819	2025-12-29T03:09:27+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B031254824	Mocha Concentrate 6oz	2	USD	53.5	4.55	0.0	Port Jennifertown	OH	88179	US
955-9934490-3923989	2025-05-15T12:27:27+00:00	Shipped	Amazon	JAVY-ORIG-18OZ	B056656783	Original Concentrate 18oz	1	USD	51.85	4.09	5.99	Jamesfurt	VA	03119	US
458-7673326-3677962	2025-08-21T19:23:25+00:00	Shipped	Amazon	JAVY-START	B049861261	Starter Kit	1	USD	44.53	3.86	3.99	North Barbarashire	CT	10963	US
313-8365068-8173832	2025-02-10T15:23:58+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B057498827	Decaf Concentrate 6oz	2	USD	56.78	5.49	5.99	East Susanside	AZ	16970	US
527-7007954-6423373	2025-08-30T09:31:27+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B090406698	Mocha Concentrate 6oz	1	USD	24.31	1.28	3.99	Parkermouth	OR	46318	US
985-6655764-2117706	2025-10-19T13:59:17+00:00	Shipped	Amazon	JAVY-CAR-6OZ	B051662071	Caramel Concentrate 6oz	1	USD	24.31	1.83	0.0	East Jenniferton	AZ	75732	US
611-6991311-1778233	2025-11-14T08:24:39+00:00	Shipped	Amazon	JAVY-MOC-18OZ	B039577836	Mocha Concentrate 18oz	1	USD	61.06	5.96	3.99	Lake Amandaside	SC	13747	US
132-5961871-2714811	2025-07-26T05:32:23+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B054913261	Decaf Concentrate 6oz	2	USD	53.16	4.29	0.0	North Justinton	CO	18278	US
278-5726265-5453586	2025-03-06T07:35:00+00:00	Shipped	Amazon	JAVY-VAN-18OZ	B049412278	Vanilla Concentrate 18oz	2	USD	125.74	12.3	0.0	Jasonmouth	NJ	27578	US
745-2536969-6286747	2025-07-09T18:54:30+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B052029959	Original Concentrate 6oz	1	USD	24.73	1.53	5.99	Jonesmouth	WI	91879	US
984-5920643-2116368	2025-04-21T07:21:32+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B073549550	Vanilla Concentrate 6oz	2	USD	56.22	3.21	5.99	Harrisfurt	NJ	18832	US
685-1740912-2102977	2025-09-11T02:08:00+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B066810647	Mocha Concentrate 6oz	1	USD	25.51	1.64	5.99	Millerstad	FL	67302	US
724-2615625-1902591	2025-04-14T00:36:34+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B070704548	Original Concentrate 6oz	2	USD	50.02	2.76	5.99	Carrollborough	OK	46799	US
967-7075837-9233449	2025-12-31T08:03:01+00:00	Shipped	Amazon	JAVY-MOC-18OZ	B050223399	Mocha Concentrate 18oz	1	USD	56.35	3.29	0.0	Port Christine	NC	92816	US
933-2506671-9618008	2025-03-22T16:57:18+00:00	Shipped	Amazon	JAVY-CAR-6OZ	B054150928	Caramel Concentrate 6oz	1	USD	28.13	2.03	3.99	Lake Matthewmouth	MO	98972	US
223-1807933-4440364	2025-01-12T09:07:21+00:00	Shipped	Merchant	JAVY-MUG	B098230509	Travel Mug	3	USD	60.81	5.42	3.99	Davisport	OR	59530	US
786-8109602-5623711	2025-12-28T21:25:05+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B052032665	Decaf Concentrate 6oz	1	USD	28.62	1.72	5.99	North Debra	MO	51073	US
473-3686370-9126515	2025-12-26T11:37:53+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B060276408	Original Concentrate 6oz	1	USD	24.02	2.21	0.0	Allenfort	WI	74962	US
712-1480221-8297449	2025-06-22T21:57:16+00:00	Shipped	Amazon	JAVY-MUG	B098318161	Travel Mug	1	USD	19.93	1.22	0.0	West Michael	SC	15664	US
825-7438095-2840092	2025-02-20T08:23:37+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B066790400	Decaf Concentrate 6oz	1	USD	26.05	2.51	5.99	South Kellyfurt	VA	89478	US
624-5505882-2426438	2025-03-16T11:36:55+00:00	Shipped	Amazon	JAVY-MOC-18OZ	B098894342	Mocha Concentrate 18oz	1	USD	58.25	4.41	5.99	Lake Dennishaven	MO	31956	US
838-4866792-4919984	2025-10-23T21:05:07+00:00	Shipped	Amazon	JAVY-CAR-6OZ	B094489914	Caramel Concentrate 6oz	2	USD	55.68	3.25	0.0	Tuckermouth	GA	04193	US
876-2648950-3425171	2025-12-01T21:29:56+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B078809674	Mocha Concentrate 6oz	1	USD	26.73	2.16	0.0	New Brooke	OR	85718	US
854-1847445-9514273	2025-10-07T21:11:11+00:00	Shipped	Amazon	JAVY-ORIG-18OZ	B091030505	Original Concentrate 18oz	1	USD	49.94	4.65	0.0	Ortizmouth	GA	33186	US
361-6926678-8982782	2025-07-25T17:06:26+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B094825242	Decaf Concentrate 6oz	3	USD	85.65	6.81	0.0	Gregoryland	WI	50008	US
883-2635732-9364502	2025-03-10T05:08:17+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B076360510	Original Concentrate 6oz	1	USD	25.49	2.28	0.0	Jonathanchester	CO	10533	US
329-1994533-6727630	2025-07-09T06:16:02+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B079867818	Mocha Concentrate 6oz	1	USD	24.98	1.56	3.99	North Cindymouth	GA	42880	US
266-1786464-2370658	2025-02-14T16:10:48+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B064229961	Vanilla Concentrate 6oz	3	USD	74.76	5.11	3.99	West Amanda	MO	83707	US
749-1898295-7997140	2025-03-03T12:28:00+00:00	Shipped	Amazon	JAVY-MOC-18OZ	B048182026	Mocha Concentrate 18oz	2	USD	124.98	10.35	3.99	Robertview	LA	06117	US
318-7524216-3556272	2025-10-21T10:42:52+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B046354609	Original Concentrate 6oz	1	USD	25.33	1.39	0.0	Tabithaton	OK	25261	US
805-6473120-1453966	2025-04-20T12:34:58+00:00	Shipped	Merchant	JAVY-DEC-18OZ	B046450289	Decaf Concentrate 18oz	2	USD	114.94	9.16	3.99	East Tracyborough	UT	01585	US
708-8368182-3362229	2025-09-24T18:17:47+00:00	Pending	Amazon	JAVY-MOC-6OZ	B024463383	Mocha Concentrate 6oz	2	USD	49.78	4.57	0.0	Douglaschester	KY	27833	US
363-1031800-5410391	2025-06-12T13:14:36+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B019156432	Vanilla Concentrate 6oz	1	USD	27.83	2.07	5.99	Taylorhaven	VA	13929	US
237-9583530-9569924	2025-11-24T10:10:20+00:00	Cancelled	Amazon	JAVY-DEC-18OZ	B041974726	Decaf Concentrate 18oz	1	USD	59.51	5.64	3.99	Cynthiaview	GA	59914	US
178-4986191-2642786	2025-12-16T17:18:09+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B074922822	Mocha Concentrate 6oz	2	USD	53.52	3.25	3.99	New Karibury	WI	78092	US
855-3046516-7074179	2025-12-05T23:49:28+00:00	Shipped	Amazon	JAVY-ORIG-18OZ	B080740167	Original Concentrate 18oz	1	USD	51.61	2.58	0.0	Lauratown	KY	75912	US
586-3305936-4027073	2025-09-09T03:11:18+00:00	Shipped	Merchant	JAVY-MUG	B074089951	Travel Mug	1	USD	19.36	1.44	0.0	Andrewston	WI	55340	US
341-3704402-4938298	2025-01-22T01:54:27+00:00	Shipped	Merchant	JAVY-START	B031380828	Starter Kit	1	USD	44.25	2.71	3.99	Moralestown	OH	75168	US
642-4174076-8718185	2025-02-01T16:21:58+00:00	Shipped	Amazon	JAVY-CAR-18OZ	B080792853	Caramel Concentrate 18oz	2	USD	117.8	6.83	0.0	East William	GA	36967	US
844-2022366-9779833	2025-08-26T11:56:06+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B090750760	Mocha Concentrate 6oz	1	USD	27.15	1.52	0.0	Hubbardmouth	IN	99381	US
937-4945132-5786683	2025-09-06T17:07:31+00:00	Shipped	Amazon	JAVY-CAR-6OZ	B055553766	Caramel Concentrate 6oz	1	USD	25.96	2.46	3.99	Danielbury	CO	43577	US
677-8612550-2657438	2025-03-10T06:12:18+00:00	Shipped	Merchant	JAVY-MOC-6OZ	B049062809	Mocha Concentrate 6oz	1	USD	26.82	2.61	0.0	Taylorfort	MN	16660	US
890-1535776-1409684	2025-03-25T06:52:40+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B040523058	Original Concentrate 6oz	2	USD	50.54	2.87	5.99	Adamsborough	GA	03289	US
609-3863988-6130159	2025-01-17T20:50:42+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B059097424	Mocha Concentrate 6oz	1	USD	27.69	1.5	0.0	Shafferside	PA	16205	US
714-2310479-1836346	2025-07-26T17:37:27+00:00	Shipped	Amazon	JAVY-MUG	B049041112	Travel Mug	1	USD	19.7	1.15	3.99	Port Patrickview	LA	94983	US
493-2293403-6967026	2025-09-12T05:02:28+00:00	Shipped	Amazon	JAVY-CBKIT	B067207403	Cold Brew Kit	1	USD	32.6	2.57	0.0	East Kevinborough	IN	77918	US
647-1810616-1883168	2025-06-28T01:59:06+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B023059951	Vanilla Concentrate 6oz	1	USD	24.38	2.27	0.0	New Trevorside	MN	62090	US
125-1564219-1324604	2025-06-11T15:23:05+00:00	Shipped	Amazon	JAVY-MUG	B096288627	Travel Mug	1	USD	20.24	1.95	3.99	Pearsonstad	LA	67605	US
913-2528036-5521177	2025-04-09T14:40:52+00:00	Shipped	Merchant	JAVY-VAN-18OZ	B081934590	Vanilla Concentrate 18oz	1	USD	54.66	3.21	0.0	Lake Jim	NY	53546	US
237-6539891-2899381	2025-03-14T06:54:30+00:00	Shipped	Merchant	JAVY-CAR-6OZ	B061089930	Caramel Concentrate 6oz	1	USD	26.4	1.43	0.0	Kathleenmouth	AL	02326	US
492-8622896-5946278	2025-03-15T00:23:02+00:00	Shipped	Amazon	JAVY-START	B055186579	Starter Kit	1	USD	45.06	2.89	3.99	Clintontown	NJ	79805	US
606-7309229-4733590	2025-12-25T22:43:17+00:00	Shipped	Merchant	JAVY-MOC-6OZ	B040240139	Mocha Concentrate 6oz	1	USD	24.66	1.49	3.99	New Robinstad	TX	25798	US
308-8398218-3671053	2025-05-24T09:10:53+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B062323514	Vanilla Concentrate 6oz	2	USD	52.02	4.97	3.99	Costaburgh	AZ	71928	US
112-5655586-6967011	2025-01-10T20:28:37+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B044993837	Vanilla Concentrate 6oz	1	USD	24.96	1.7	3.99	South Dean	TX	35170	US
560-9932207-1882460	2025-12-05T11:18:38+00:00	Shipped	Merchant	JAVY-ORIG-18OZ	B048929935	Original Concentrate 18oz	2	USD	100.36	8.5	0.0	North Sandra	TX	09390	US
327-2159218-2820783	2025-11-26T16:39:31+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B022867151	Original Concentrate 6oz	1	USD	23.92	1.42	0.0	Port Molly	VA	11641	US
327-2159218-2820783	2025-10-21T23:43:20+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B065820156	Vanilla Concentrate 6oz	1	USD	27.03	1.43	5.99	Lake Denisemouth	KY	61033	US
346-6677452-9846661	2025-11-01T16:51:32+00:00	Shipped	Amazon	JAVY-VAN-18OZ	B085408385	Vanilla Concentrate 18oz	1	USD	57.16	3.77	5.99	North Joseph	NC	37135	US
678-9105332-5361090	2025-06-25T19:28:36+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B061619094	Decaf Concentrate 6oz	1	USD	29.06	2.69	0.0	North Brianfort	LA	90870	US
627-5291898-9300462	2025-07-26T15:20:25+00:00	Shipped	Amazon	JAVY-MOC-18OZ	B034335321	Mocha Concentrate 18oz	1	USD	54.55	5.11	3.99	Coryborough	CO	21414	US
209-6596049-9890913	2025-10-08T01:48:32+00:00	Shipped	Merchant	JAVY-MUG	B090859364	Travel Mug	1	USD	20.88	1.43	0.0	Nathanbury	NC	72700	US
522-9092258-2191647	2025-12-22T05:51:18+00:00	Shipped	Amazon	JAVY-CAR-6OZ	B029715953	Caramel Concentrate 6oz	1	USD	26.79	1.48	0.0	North Christineport	CT	13449	US
756-7470157-4196618	2025-10-20T11:55:39+00:00	Shipped	Amazon	JAVY-DEC-18OZ	B042975313	Decaf Concentrate 18oz	1	USD	61.98	3.66	5.99	East Karen	OR	71802	US
166-5840407-6230529	2025-05-08T21:40:01+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B019526915	Vanilla Concentrate 6oz	1	USD	28.2	2.78	3.99	Johnsonside	OR	62716	US
643-1238385-7502933	2025-09-07T13:31:20+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B022266616	Decaf Concentrate 6oz	1	USD	25.84	1.64	0.0	Lake Peter	MD	34023	US
868-5167886-9129206	2025-06-27T06:56:02+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B041424136	Mocha Concentrate 6oz	1	USD	26.43	1.95	5.99	Harrisburgh	MA	49416	US
684-3402309-8506652	2025-07-21T03:26:51+00:00	Shipped	Amazon	JAVY-ORIG-18OZ	B069394167	Original Concentrate 18oz	2	USD	104.08	8.52	5.99	South Meganberg	WA	24817	US
573-1923523-2056781	2025-07-02T00:38:44+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B022583082	Original Concentrate 6oz	1	USD	24.85	1.92	3.99	Alexisborough	FL	23096	US
930-8612952-1688111	2025-01-30T10:50:15+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B063118769	Original Concentrate 6oz	1	USD	22.57	1.26	5.99	Garciaside	AL	82009	US
198-1599929-3045053	2025-08-07T19:02:20+00:00	Shipped	Amazon	JAVY-MUG	B088922990	Travel Mug	2	USD	40.54	2.42	3.99	North Jamesfurt	MD	69423	US
546-9693313-9000293	2025-02-26T12:58:29+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B040785793	Original Concentrate 6oz	1	USD	26.17	2.54	3.99	Garciafurt	KY	28696	US
471-2880285-7394370	2025-11-18T04:47:09+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B024569033	Original Concentrate 6oz	1	USD	26.13	1.87	0.0	South Alexanderside	NY	52845	US
901-3616132-6482131	2025-01-28T15:01:55+00:00	Shipped	Merchant	JAVY-VAN-6OZ	B031029423	Vanilla Concentrate 6oz	1	USD	27.59	1.76	5.99	Bensonburgh	SC	07852	US
245-6462654-5418691	2025-12-03T16:42:50+00:00	Shipped	Merchant	JAVY-ORIG-6OZ	B049513603	Original Concentrate 6oz	2	USD	50.2	4.98	0.0	Port Austin	CA	78430	US
528-4611623-5112228	2025-02-09T20:49:08+00:00	Shipped	Amazon	JAVY-ORIG-18OZ	B036077827	Original Concentrate 18oz	1	USD	50.44	4.9	5.99	Kimberlybury	TN	51740	US
806-4462115-3185373	2025-03-05T00:25:05+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B032443320	Original Concentrate 6oz	1	USD	24.46	1.57	5.99	Griffithland	MA	75374	US
610-4276627-2036514	2025-03-24T15:35:00+00:00	Pending	Amazon	JAVY-MUG	B068652291	Travel Mug	1	USD	18.89	1.34	3.99	Jamesside	WA	76967	US
911-8284009-6232589	2025-03-13T01:40:10+00:00	Shipped	Amazon	JAVY-CAR-6OZ	B089907129	Caramel Concentrate 6oz	1	USD	27.96	2.77	3.99	North Matthewfort	NY	79788	US
969-5440740-6111749	2025-05-09T10:40:32+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B036510771	Vanilla Concentrate 6oz	2	USD	52.32	3.79	3.99	Anthonyville	CO	65372	US
316-3927844-9743019	2025-04-15T16:47:37+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B044501825	Mocha Concentrate 6oz	2	USD	50.32	3.47	3.99	East Matthew	LA	74305	US
611-6119047-5859387	2025-10-18T20:18:08+00:00	Pending	Merchant	JAVY-CAR-18OZ	B096328902	Caramel Concentrate 18oz	1	USD	57.08	4.91	0.0	North Laurenborough	CA	81154	US
434-5930580-7024756	2025-02-10T07:24:26+00:00	Shipped	Amazon	JAVY-ORIG-18OZ	B042842570	Original Concentrate 18oz	1	USD	57.66	3.76	3.99	Daviston	GA	86267	US
